GENOTYPE,PLOT,Index
CT27050-113-R-R-R-MPL,677,6
CT27015-68-R-R-R-MPL,678,7
CT26987-105-R-R-R-MPL,679,7
CT27038-80-R-R-R-MPL,680,7
CT27031-45-R-R-R-MPL,681,6
CT26989-68-R-R-R-MPL,682,5
CT27020-49-R-R-R-MPL,683,7
CT27016-79-R-R-R-MPL,684,7
Olimar,685,7
CT27015-45-R-R-R-MPL,686,7
CT26997-136-R-R-R-MPL,687,6
CT27054-31-R-R-R-MPL,688,7
CT26989-88-R-R-R-MPL,689,6
CT27020-66-R-R-R-MPL,690,2
CT27047-99-R-R-R-MPL,691,6
CT27020-80-R-R-R-MPL,692,6
CT27057-55-R-R-R-MPL,693,2
CT27047-123-R-R-R-MPL,694,7
CT26987-110-R-R-R-MPL,695,7
CT27009-32-R-R-R-MPL,696,7
CT26997-105-R-R-R-MPL,697,6
CT27050-65-R-R-R-MPL,698,7
CT27009-79-R-R-R-MPL,699,7
CT26997-148-R-R-R-MPL,700,6
CT27038-116-R-R-R-MPL,701,7
CT26987-172-R-R-R-MPL,702,7
CT27038-113-R-R-R-MPL,703,6
CT26987-189-R-R-R-MPL,704,7
CT26995-48-R-R-R-MPL,705,7
CT27031-77-R-R-R-MPL,706,7
CT26987-160-R-R-R-MPL,707,6
CT27048-45-R-R-R-MPL,708,7
CT26997-31-R-R-R-MPL,709,6
CT26987-153-R-R-R-MPL,710,6
CT26997-97-R-R-R-MPL,711,7
FL12710-2-2P-MP-MP,712,6
CT26987-185-R-R-R-MPL,713,6
ORYZICA 1,714,6
CT26995-43-R-R-R-MPL,715,7
CT27048-33-R-R-R-MPL,716,6
CT22061-2P-2SR-3P-2SR-1P-4P,717,5
CT26987-82-R-R-R-MPL,718,6
CT27017-99-R-R-R-MPL,719,6
CT26998-113-R-R-R-MPL,720,6
CT27047-140-R-R-R-MPL,721,3
CT26998-50-R-R-R-MPL,722,2
CT26997-46-R-R-R-MPL,723,6
CT26989-121-R-R-R-MPL,724,3
CT27038-70-R-R-R-MPL,725,5
CT27035-153-R-R-R-MPL,726,7
CT27038-100-R-R-R-MPL,727,7
CT27035-158-R-R-R-MPL,728,6
CT27038-43-R-R-R-MPL,729,7
Olimar,730,7
CT26997-158-R-R-R-MPL,731,5
CT27038-79-R-R-R-MPL,732,5
CT27009-64-R-R-R-MPL,733,6
CT26989-58-R-R-R-MPL,734,6
CT27035-149-R-R-R-MPL,735,7
CT27031-113-R-R-R-MPL,736,7
CT27048-37-R-R-R-MPL,737,7
CT27017-101-R-R-R-MPL,738,6
CT26997-150-R-R-R-MPL,739,6
CT27031-85-R-R-R-MPL,740,7
CT27017-90-R-R-R-MPL,741,7
CT26989-133-R-R-R-MPL,742,6
CT26991-42-R-R-R-MPL,743,7
CT27009-83-R-R-R-MPL,744,7
CT27031-51-R-R-R-MPL,745,7
CT26997-129-R-R-R-MPL,746,4
CT26987-150-R-R-R-MPL,747,2
CT26989-81-R-R-R-MPL,748,3
CT26987-112-R-R-R-MPL,749,5
FEDEARROZ 2000,750,6
H 9 (IRGA-R-CL-8-1-7),751,4
CT26989-57-R-R-R-MPL,752,4
CT26997-93-R-R-R-MPL,753,3
CT26995-114-R-R-R-MPL,754,6
CT26987-107-R-R-R-MPL,755,7
CT26995-76-R-R-R-MPL,756,6
CT26989-53-R-R-R-MPL,757,5
CT27017-48-R-R-R-MPL,758,7
CT27016-84-R-R-R-MPL,759,7
CT26987-74-R-R-R-MPL,760,7
CT27020-81-R-R-R-MPL,761,6
CT26995-81-R-R-R-MPL,762,7
CT26989-100-R-R-R-MPL,763,3
CT27047-60-R-R-R-MPL,764,6
CT27035-70-R-R-R-MPL,765,6
CT26995-49-R-R-R-MPL,766,6
CT27047-141-R-R-R-MPL,767,6
CT27016-96-R-R-R-MPL,768,7
CT26989-70-R-R-R-MPL,769,6
CT27020-96-R-R-R-MPL,770,5
CT26987-152-R-R-R-MPL,771,5
ORYZICA 1,772,6
CT26987-126-R-R-R-MPL,773,6
CT27020-94-R-R-R-MPL,774,6
CT27009-42-R-R-R-MPL,775,8
CT26998-65-R-R-R-MPL,776,1
CT26987-147-R-R-R-MPL,777,7
CT27005-31-R-R-R-MPL,778,7
CT27035-136-R-R-R-MPL,779,6
CT27017-56-R-R-R-MPL,780,5
CT26997-65-R-R-R-MPL,781,6
CT27047-42-R-R-R-MPL,782,6
CT27050-74-R-R-R-MPL,783,2
CT27009-86-R-R-R-MPL,784,6
CT27035-120-R-R-R-MPL,785,6
CT26995-134-R-R-R-MPL,786,5
CT27009-81-R-R-R-MPL,787,7
CT26998-49-R-R-R-MPL,788,6
CT26991-49-R-R-R-MPL,789,5
CT27035-164-R-R-R-MPL,790,6
CT27057-42-R-R-R-MPL,791,6
CT27016-81-R-R-R-MPL,792,7
CT27020-32-R-R-R-MPL,793,6
CT27038-38-R-R-R-MPL,794,6
CT26987-183-R-R-R-MPL,795,6
Olimar,796,6
CT27031-81-R-R-R-MPL,797,6
CT27017-62-R-R-R-MPL,798,5
CT27038-107-R-R-R-MPL,799,6
CT27054-55-R-R-R-MPL,800,7
CT27050-132-R-R-R-MPL,801,3
CT26997-51-R-R-R-MPL,802,3
CT27050-62-R-R-R-MPL,803,4
CT27035-50-R-R-R-MPL,804,7
CT26997-100-R-R-R-MPL,805,6
CT27050-82-R-R-R-MPL,806,6
CT26987-108-R-R-R-MPL,807,7
CT27035-137-R-R-R-MPL,808,7
CT27048-61-R-R-R-MPL,809,7
CT26997-83-R-R-R-MPL,810,2
CT26989-79-R-R-R-MPL,811,5
CT27057-33-R-R-R-MPL,812,7
CT26995-73-R-R-R-MPL,813,7
CT27047-84-R-R-R-MPL,814,7
CT26987-100-R-R-R-MPL,815,7
CT26989-82-R-R-R-MPL,816,4
CT26995-88-R-R-R-MPL,817,7
CT27047-93-R-R-R-MPL,818,6
CT27035-119-R-R-R-MPL,819,6
CT27047-86-R-R-R-MPL,820,7
CT26997-140-R-R-R-MPL,821,6
CT27035-95-R-R-R-MPL,822,7
CT26989-51-R-R-R-MPL,823,7
CT26987-127-R-R-R-MPL,824,7
CT26995-104-R-R-R-MPL,825,6
CT26987-155-R-R-R-MPL,826,6
FEDEARROZ 2000,827,5
CT26991-71-R-R-R-MPL,828,6
CT27038-58-R-R-R-MPL,829,6
CT27035-56-R-R-R-MPL,830,7
CT27038-45-R-R-R-MPL,831,2
Olimar,832,7
CT27009-75-R-R-R-MPL,833,7
CT27038-55-R-R-R-MPL,834,6
CT27054-48-R-R-R-MPL,835,7
CT27017-63-R-R-R-MPL,836,7
CT26995-65-R-R-R-MPL,837,6
CT27047-126-R-R-R-MPL,838,7
CT27048-52-R-R-R-MPL,839,7
CT26989-74-R-R-R-MPL,840,6
CT27038-34-R-R-R-MPL,841,7
CT27047-96-R-R-R-MPL,842,7
CT26997-102-R-R-R-MPL,843,6
CT27020-88-R-R-R-MPL,844,7
CT26987-62-R-R-R-MPL,845,7
CT27050-91-R-R-R-MPL,846,7
CT27017-70-R-R-R-MPL,847,7
CT27047-114-R-R-R-MPL,848,7
CT27009-46-R-R-R-MPL,849,5
CT26987-179-R-R-R-MPL,850,7
CT26995-41-R-R-R-MPL,851,6
CT26989-43-R-R-R-MPL,852,6
CT26998-99-R-R-R-MPL,853,7
CT26991-74-R-R-R-MPL,854,7
CT27016-69-R-R-R-MPL,855,7
CT26991-59-R-R-R-MPL,856,7
CT27048-53-R-R-R-MPL,857,2
CT26987-33-R-R-R-MPL,858,6
CT26989-72-R-R-R-MPL,859,5
CT27038-50-R-R-R-MPL,860,6
CT27047-167-R-R-R-MPL,861,7
H 4 (IRGA-R-CL-8-2-1),862,3
CT27038-77-R-R-R-MPL,863,2
CT26997-101-R-R-R-MPL,864,6
CT27048-46-R-R-R-MPL,865,7
ORYZICA 1,866,6
CT27017-65-R-R-R-MPL,867,7
CT26995-83-R-R-R-MPL,868,7
CT26997-37-R-R-R-MPL,869,7
CT26995-40-R-R-R-MPL,870,7
CT27015-123-R-R-R-MPL,871,7
CT27038-103-R-R-R-MPL,872,6
CT27031-64-R-R-R-MPL,873,6
CT27009-53-R-R-R-MPL,874,7
CT27015-96-R-R-R-MPL,875,6
CT26987-57-R-R-R-MPL,876,6
CT27057-52-R-R-R-MPL,877,7
CT26987-118-R-R-R-MPL,878,7
CT26997-34-R-R-R-MPL,879,7
CT27015-117-R-R-R-MPL,880,7
FEDEARROZ 2000,881,6
CT27020-54-R-R-R-MPL,882,7
CT27016-94-R-R-R-MPL,883,7
CT27054-49-R-R-R-MPL,884,2
CT27047-78-R-R-R-MPL,885,5
CT26997-142-R-R-R-MPL,886,7
CT26987-43-R-R-R-MPL,887,7
CT27038-69-R-R-R-MPL,888,7
CT26987-132-R-R-R-MPL,889,7
CT26997-112-R-R-R-MPL,890,7
CT27020-68-R-R-R-MPL,891,5
FEDEARROZ 2000,892,7
CT27035-74-R-R-R-MPL,893,7
CT27016-40-R-R-R-MPL,894,6
CT26995-119-R-R-R-MPL,895,7
CT27015-50-R-R-R-MPL,896,7
CT27017-82-R-R-R-MPL,897,2
CT26998-79-R-R-R-MPL,898,7
CT27057-40-R-R-R-MPL,899,7
CT27038-39-R-R-R-MPL,900,2
CT27015-48-R-R-R-MPL,901,6
CT27035-127-R-R-R-MPL,902,6
CT26989-50-R-R-R-MPL,903,6
CT26995-47-R-R-R-MPL,904,7
CT27050-100-R-R-R-MPL,905,7
CT27016-71-R-R-R-MPL,906,7
CT26995-92-R-R-R-MPL,907,7
CT27020-73-R-R-R-MPL,908,7
CT26987-119-R-R-R-MPL,909,7
CT27020-74-R-R-R-MPL,910,7
ORYZICA 1,911,6
CT27047-95-R-R-R-MPL,912,6
CT26989-123-R-R-R-MPL,913,7
CT27009-31-R-R-R-MPL,914,3
CT27035-89-R-R-R-MPL,915,6
CT27020-77-R-R-R-MPL,916,6
Olimar,917,6
CT27035-154-R-R-R-MPL,918,6
CT27054-32-R-R-R-MPL,919,6
CT27035-67-R-R-R-MPL,920,7
CT26995-55-R-R-R-MPL,921,7
CT27031-111-R-R-R-MPL,922,6
CT27015-97-R-R-R-MPL,923,6
CT27047-112-R-R-R-MPL,924,6
CT26997-111-R-R-R-MPL,925,6
CT27057-54-R-R-R-MPL,926,2
CT27048-41-R-R-R-MPL,927,6
CT27035-97-R-R-R-MPL,928,6
CT27031-71-R-R-R-MPL,929,6
CT27017-89-R-R-R-MPL,930,6
CT26987-115-R-R-R-MPL,931,6
CT27035-160-R-R-R-MPL,932,5
CT27016-33-R-R-R-MPL,933,6
CT27031-91-R-R-R-MPL,934,6
CT26997-143-R-R-R-MPL,935,1
CT27031-107-R-R-R-MPL,936,6
CT27047-170-R-R-R-MPL,937,6
CT27038-159-R-R-R-MPL,938,5
CT27020-89-R-R-R-MPL,939,6
CT26987-103-R-R-R-MPL,940,6
CT26997-137-R-R-R-MPL,941,5
CT27035-159-R-R-R-MPL,942,6
CT27031-61-R-R-R-MPL,943,6
CT27035-59-R-R-R-MPL,944,6
ORYZICA 1,945,5
CT27035-37-R-R-R-MPL,946,6
CT26997-68-R-R-R-MPL,947,6
CT26991-45-R-R-R-MPL,948,6
CT27035-66-R-R-R-MPL,949,7
CT26995-125-R-R-R-MPL,950,6
CT26997-124-R-R-R-MPL,951,6
CT27050-129-R-R-R-MPL,952,6
CT27057-38-R-R-R-MPL,953,6
CT26989-51-R-R-R-MPL,954,5
CT27015-44-R-R-R-MPL,955,5
CT26991-72-R-R-R-MPL,956,6
CT27050-119-R-R-R-MPL,957,3
CT27016-88-R-R-R-MPL,958,6
CT27009-39-R-R-R-MPL,959,7
CT27035-144-R-R-R-MPL,960,6
Olimar,961,6
CT27035-88-R-R-R-MPL,962,7
CT27031-96-R-R-R-MPL,963,6
CT27035-31-R-R-R-MPL,964,6
CT27038-137-R-R-R-MPL,965,3
CT27057-58-R-R-R-MPL,966,6
CT26998-48-R-R-R-MPL,967,3
CT26997-95-R-R-R-MPL,968,7
CT27050-48-R-R-R-MPL,969,4
CT26991-67-R-R-R-MPL,970,7
CT26987-130-R-R-R-MPL,971,6
CT27015-104-R-R-R-MPL,972,6
CT26995-61-R-R-R-MPL,973,6
CT26989-99-R-R-R-MPL,974,2
CT26995-90-R-R-R-MPL,975,6
CT26987-69-R-R-R-MPL,976,6
CT27015-98-R-R-R-MPL,977,7
CT26987-148-R-R-R-MPL,978,6
CT27016-80-R-R-R-MPL,979,7
CT27020-62-R-R-R-MPL,980,7
CT26997-40-R-R-R-MPL,981,5
CT26995-78-R-R-R-MPL,982,6
CT27035-112-R-R-R-MPL,983,7
CT27038-164-R-R-R-MPL,984,6
CT27031-121-R-R-R-MPL,985,6
CT27047-66-R-R-R-MPL,986,6
CT27031-82-R-R-R-MPL,987,6
CT27035-80-R-R-R-MPL,988,6
CT26998-115-R-R-R-MPL,989,5
CT27054-44-R-R-R-MPL,990,6
CT27050-93-R-R-R-MPL,991,6
CT27047-115-R-R-R-MPL,992,7
CT27015-77-R-R-R-MPL,993,6
CT27054-57-R-R-R-MPL,994,7
CT27017-35-R-R-R-MPL,995,7
CT27035-151-R-R-R-MPL,996,6
FEDEARROZ 2000,997,7
CT27038-82-R-R-R-MPL,998,7
CT27050-45-R-R-R-MPL,999,7
CT26989-115-R-R-R-MPL,1000,7
CT26995-115-R-R-R-MPL,1001,7
CT27015-56-R-R-R-MPL,1002,6
CT26987-190-R-R-R-MPL,1003,7
CT27020-46-R-R-R-MPL,1004,7
CT27016-75-R-R-R-MPL,1005,7
CT26987-168-R-R-R-MPL,1006,7
CT27038-162-R-R-R-MPL,1007,7
CT27020-48-R-R-R-MPL,1008,7
CT27009-60-R-R-R-MPL,1009,7
CT27047-94-R-R-R-MPL,1010,6
CT27038-105-R-R-R-MPL,1011,6
CT26995-103-R-R-R-MPL,1012,6
ORYZICA 1,1013,6
CT27016-45-R-R-R-MPL,1014,7
CT27020-37-R-R-R-MPL,1015,7
CT27047-108-R-R-R-MPL,1016,6
CT26995-74-R-R-R-MPL,1017,7
CT26998-96-R-R-R-MPL,1018,6
CT27031-56-R-R-R-MPL,1019,7
CT27047-76-R-R-R-MPL,1020,7
CT27009-67-R-R-R-MPL,1021,2
CT27031-106-R-R-R-MPL,1022,7
H 50(IRGA R14-23-1-3),1023,3
CT27016-76-R-R-R-MPL,1024,7
CT27038-98-R-R-R-MPL,1025,6
CT26989-116-R-R-R-MPL,1026,5
CT26987-53-R-R-R-MPL,1027,7
CT27016-102-R-R-R-MPL,1028,7
CT27031-84-R-R-R-MPL,1029,6
CT27035-150-R-R-R-MPL,1030,6
CT27015-80-R-R-R-MPL,1031,7
CT26997-145-R-R-R-MPL,1032,6
CT26987-60-R-R-R-MPL,1033,7
Olimar,1034,7
CT26997-121-R-R-R-MPL,1035,7
CT26995-69-R-R-R-MPL,1036,7
CT27020-59-R-R-R-MPL,1037,6
CT27009-91-R-R-R-MPL,1038,7
CT27017-41-R-R-R-MPL,1039,7
CT26989-45-R-R-R-MPL,1040,6
CT27016-90-R-R-R-MPL,1041,7
CT27047-90-R-R-R-MPL,1042,6
CT26998-32-R-R-R-MPL,1043,6
CT27035-41-R-R-R-MPL,1044,7
CT27050-46-R-R-R-MPL,1045,5
CT27016-43-R-R-R-MPL,1046,7
CT27035-84-R-R-R-MPL,1047,7
CT27048-47-R-R-R-MPL,1048,6
CT27016-55-R-R-R-MPL,1049,7
CT26987-85-R-R-R-MPL,1050,7
CT27016-49-R-R-R-MPL,1051,7
CT27050-115-R-R-R-MPL,1052,6
CT26989-102-R-R-R-MPL,1053,7
CT27035-48-R-R-R-MPL,1054,6
CT26987-157-R-R-R-MPL,1055,6
CT26997-63-R-R-R-MPL,1056,6
CT26987-131-R-R-R-MPL,1057,7
CT27054-41-R-R-R-MPL,1058,7
CT27016-37-R-R-R-MPL,1059,7
CT27050-105-R-R-R-MPL,1060,6
CT27038-146-R-R-R-MPL,1061,6
CT27017-57-R-R-R-MPL,1062,7
CT26991-56-R-R-R-MPL,1063,6
CT26995-95-R-R-R-MPL,1064,6
FEDEARROZ 2000,1065,6
CT26995-97-R-R-R-MPL,1066,6
CT27017-31-R-R-R-MPL,1067,1
CT27031-63-R-R-R-MPL,1068,7
CT27038-144-R-R-R-MPL,1069,3
Olimar,1070,6
CT27035-98-R-R-R-MPL,1071,7
CT26989-41-R-R-R-MPL,1072,5
CT27020-56-R-R-R-MPL,1073,6
CT26995-32-R-R-R-MPL,1074,7
CT27038-129-R-R-R-MPL,1075,1
CT27035-108-R-R-R-MPL,1076,7
CT27020-34-R-R-R-MPL,1077,5
CT27035-131-R-R-R-MPL,1078,6
CT27020-60-R-R-R-MPL,1079,6
CT27054-40-R-R-R-MPL,1080,4
CT27047-153-R-R-R-MPL,1081,6
CT26987-109-R-R-R-MPL,1082,6
CT26998-101-R-R-R-MPL,1083,5
CT27054-33-R-R-R-MPL,1084,7
CT26991-44-R-R-R-MPL,1085,6
CT26997-75-R-R-R-MPL,1086,7
CT27047-49-R-R-R-MPL,1087,6
CT27016-51-R-R-R-MPL,1088,6
CT26995-135-R-R-R-MPL,1089,6
CT27035-101-R-R-R-MPL,1090,6
CT26997-98-R-R-R-MPL,1091,1
CT27020-51-R-R-R-MPL,1092,6
ORYZICA 1,1093,5
CT27047-143-R-R-R-MPL,1094,6
CT27020-76-R-R-R-MPL,1095,1
CT26997-90-R-R-R-MPL,1096,4
CT27015-60-R-R-R-MPL,1097,6
CT27020-57-R-R-R-MPL,1098,4
CT27016-78-R-R-R-MPL,1099,6
FL12718-3-1P-3A- MP- MP,1100,3
CT26987-87-R-R-R-MPL,1101,6
CT27050-50-R-R-R-MPL,1102,6
CT26998-116-R-R-R-MPL,1103,2
CT27016-39-R-R-R-MPL,1104,7
CT27035-55-R-R-R-MPL,1105,7
CT27047-163-R-R-R-MPL,1106,6
CT27035-129-R-R-R-MPL,1107,7
CT27054-62-R-R-R-MPL,1108,7
CT26987-170-R-R-R-MPL,1109,6
CT26997-50-R-R-R-MPL,1110,6
CT26989-69-R-R-R-MPL,1111,5
FEDEARROZ 2000,1112,6
CT27017-60-R-R-R-MPL,1113,6
CT27038-78-R-R-R-MPL,1114,6
CT27031-46-R-R-R-MPL,1115,7
CT26997-64-R-R-R-MPL,1116,7
CT27035-38-R-R-R-MPL,1117,6
CT26995-117-R-R-R-MPL,1118,6
CT27038-53-R-R-R-MPL,1119,7
ORYZICA 1,1120,5
CT27015-46-R-R-R-MPL,1121,6
CT26997-115-R-R-R-MPL,1122,4
CT27047-135-R-R-R-MPL,1123,5
CT27009-71-R-R-R-MPL,1124,7
CT27031-104-R-R-R-MPL,1125,5
CT26987-125-R-R-R-MPL,1126,4
CT27020-103-R-R-R-MPL,1127,6
CT27057-63-R-R-R-MPL,1128,6
CT26991-32-R-R-R-MPL,1129,6
CT27015-102-R-R-R-MPL,1130,6
CT27038-121-R-R-R-MPL,1131,3
CT26998-36-R-R-R-MPL,1132,5
CT27016-87-R-R-R-MPL,1133,7
CT27047-91-R-R-R-MPL,1134,6
CT27054-53-R-R-R-MPL,1135,6
CT26998-39-R-R-R-MPL,1136,5
CT27035-71-R-R-R-MPL,1137,6
CT26995-124-R-R-R-MPL,1138,6
CT26989-124-R-R-R-MPL,1139,6
CT27035-133-R-R-R-MPL,1140,7
CT27038-59-R-R-R-MPL,1141,6
CT27015-67-R-R-R-MPL,1142,6
CT26987-121-R-R-R-MPL,1143,6
FEDEARROZ 2000,1144,7
CT27009-66-R-R-R-MPL,1145,5
CT26995-63-R-R-R-MPL,1146,6
CT27031-108-R-R-R-MPL,1147,6
CT26987-188-R-R-R-MPL,1148,7
CT27015-69-R-R-R-MPL,1149,7
CT26998-87-R-R-R-MPL,1150,7
CT27050-68-R-R-R-MPL,1151,7
CT26987-55-R-R-R-MPL,1152,7
CT26997-81-R-R-R-MPL,1153,7
CT27038-72-R-R-R-MPL,1154,3
CT27015-126-R-R-R-MPL,1155,7
CT27020-104-R-R-R-MPL,1156,6
CT27015-78-R-R-R-MPL,1157,7
CT27031-60-R-R-R-MPL,1158,6
CT26987-117-R-R-R-MPL,1159,7
CT27038-124-R-R-R-MPL,1160,6
CT26997-71-R-R-R-MPL,1161,3
CT27009-38-R-R-R-MPL,1162,6
CT26997-55-R-R-R-MPL,1163,6
Olimar,1164,6
CT26998-73-R-R-R-MPL,1165,6
CT27047-142-R-R-R-MPL,1166,6
CT27009-49-R-R-R-MPL,1167,5
CT26987-158-R-R-R-MPL,1168,7
CT27016-100-R-R-R-MPL,1169,7
CT27031-80-R-R-R-MPL,1170,7
CT26995-37-R-R-R-MPL,1171,6
CT27038-106-R-R-R-MPL,1172,1
CT27009-54-R-R-R-MPL,1173,7
CT27047-113-R-R-R-MPL,1174,7
CT26997-108-R-R-R-MPL,1175,2
CT27047-146-R-R-R-MPL,1176,6
CT27035-140-R-R-R-MPL,1177,6
CT26997-118-R-R-R-MPL,1178,7
CT26995-100-R-R-R-MPL,1179,6
CT27017-86-R-R-R-MPL,1180,3
CT27047-35-R-R-R-MPL,1181,6
CT27015-42-R-R-R-MPL,1182,7
CT27017-71-R-R-R-MPL,1183,7
CT26987-61-R-R-R-MPL,1184,7
CT27050-130-R-R-R-MPL,1185,6
CT27035-113-R-R-R-MPL,1186,7
CT26997-126-R-R-R-MPL,1187,3
CT26987-91-R-R-R-MPL,1188,5
CT27047-103-R-R-R-MPL,1189,6
ORYZICA 1,1190,5
H 76 (IRGA R14-8-4-MP),1191,3
CT26987-88-R-R-R-MPL,1192,7
CT27038-37-R-R-R-MPL,1193,7
CT26987-137-R-R-R-MPL,1194,6
CT27038-155-R-R-R-MPL,1195,3
CT26989-76-R-R-R-MPL,1196,6
CT27047-89-R-R-R-MPL,1197,7
CT27038-149-R-R-R-MPL,1198,7
CT27015-87-R-R-R-MPL,1199,6
CT27047-169-R-R-R-MPL,1200,7
CT26987-102-R-R-R-MPL,1201,7
CT27035-76-R-R-R-MPL,1202,7
CT27009-85-R-R-R-MPL,1203,7
CT27017-102-R-R-R-MPL,1204,7
CT27047-149-R-R-R-MPL,1205,6
CT26991-41-R-R-R-MPL,1206,6
CT27015-57-R-R-R-MPL,1207,7
CT27038-41-R-R-R-MPL,1208,5
CT27015-131-R-R-R-MPL,1209,7
FEDEARROZ 2000,1210,7
CT27031-101-R-R-R-MPL,1211,7
CT26995-33-R-R-R-MPL,1212,7
CT27020-106-R-R-R-MPL,1213,7
CT26997-48-R-R-R-MPL,1214,3
CT27047-77-R-R-R-MPL,1215,6
CT26995-42-R-R-R-MPL,1216,6
CT27050-58-R-R-R-MPL,1217,2
CT27057-44-R-R-R-MPL,1218,6
CT26997-117-R-R-R-MPL,1219,7
CT27050-53-R-R-R-MPL,1220,7
CT27047-106-R-R-R-MPL,1221,7
CT26991-52-R-R-R-MPL,1222,7
CT27031-72-R-R-R-MPL,1223,6
CT26995-84-R-R-R-MPL,1224,6
CT26989-128-R-R-R-MPL,1225,3
CT26995-127-R-R-R-MPL,1226,7
CT27031-86-R-R-R-MPL,1227,7
CT26989-87-R-R-R-MPL,1228,3
CT27017-37-R-R-R-MPL,1229,6
CT27057-41-R-R-R-MPL,1230,6
CT26998-100-R-R-R-MPL,1231,7
CT27035-53-R-R-R-MPL,1232,7
CT27015-107-R-R-R-MPL,1233,7
CT27020-101-R-R-R-MPL,1234,7
CT26998-66-R-R-R-MPL,1235,6
CT27015-94-R-R-R-MPL,1236,7
CT27005-34-R-R-R-MPL,1237,3
CT27047-56-R-R-R-MPL,1238,6
CT26987-36-R-R-R-MPL,1239,7
CT27038-90-R-R-R-MPL,1240,6
CT26987-50-R-R-R-MPL,1241,7
CT27035-46-R-R-R-MPL,1242,7
Olimar,1243,7
CT26989-77-R-R-R-MPL,1244,7
ORYZICA 1,1245,6
CT27015-33-R-R-R-MPL,1246,7
CT27050-57-R-R-R-MPL,1247,6
CT27047-70-R-R-R-MPL,1248,6
CT26995-44-R-R-R-MPL,1249,6
CT27031-54-R-R-R-MPL,1250,6
CT26987-140-R-R-R-MPL,1251,7
CT27054-61-R-R-R-MPL,1252,1
CT27038-123-R-R-R-MPL,1253,5
FEDEARROZ 2000,1254,7
CT26995-62-R-R-R-MPL,1255,7
IRGA 418,1256,7
CT27020-43-R-R-R-MPL,1257,7
CT26998-69-R-R-R-MPL,1258,2
CT27038-64-R-R-R-MPL,1259,5
CT26987-122-R-R-R-MPL,1260,6
CT27017-50-R-R-R-MPL,1261,6
CT26987-77-R-R-R-MPL,1262,7
CT26998-89-R-R-R-MPL,1263,7
CT26989-119-R-R-R-MPL,1264,6
CT26998-110-R-R-R-MPL,1265,7
CT26995-110-R-R-R-MPL,1266,7
CT27015-54-R-R-R-MPL,1267,6
CT27035-148-R-R-R-MPL,1268,6
CT27038-117-R-R-R-MPL,1269,6
CT27035-107-R-R-R-MPL,1270,7
CT27048-35-R-R-R-MPL,1271,6
CT26995-71-R-R-R-MPL,1272,7
CT27015-62-R-R-R-MPL,1273,7
CT26987-42-R-R-R-MPL,1274,7
CT26997-33-R-R-R-MPL,1275,6
CT27017-67-R-R-R-MPL,1276,6
CT27038-67-R-R-R-MPL,1277,6
CT26987-70-R-R-R-MPL,1278,6
CT26995-85-R-R-R-MPL,1279,6
CT27031-70-R-R-R-MPL,1280,6
CT27047-71-R-R-R-MPL,1281,7
Olimar,1282,6
CT26989-96-R-R-R-MPL,1283,4
CT27035-163-R-R-R-MPL,1284,6
CT27031-43-R-R-R-MPL,1285,7
CT27038-132-R-R-R-MPL,1286,6
CT27031-53-R-R-R-MPL,1287,6
CT27038-120-R-R-R-MPL,1288,2
CT27020-71-R-R-R-MPL,1289,7
CT27047-33-R-R-R-MPL,1290,7
CT27016-92-R-R-R-MPL,1291,7
CT26987-171-R-R-R-MPL,1292,7
CT27035-126-R-R-R-MPL,1293,7
CT27009-78-R-R-R-MPL,1294,5
CT27035-85-R-R-R-MPL,1295,6
CT27015-92-R-R-R-MPL,1296,6
CT26995-111-R-R-R-MPL,1297,6
CT27038-157-R-R-R-MPL,1298,5
CT26991-46-R-R-R-MPL,1299,6
CT27035-34-R-R-R-MPL,1300,7
CT27031-119-R-R-R-MPL,1301,5
CT27015-71-R-R-R-MPL,1302,6
CT26995-59-R-R-R-MPL,1303,6
SLF-10-108,1304,3
CT27015-99-R-R-R-MPL,1305,6
CT26998-61-R-R-R-MPL,1306,7
CT26997-139-R-R-R-MPL,1307,7
CT26987-34-R-R-R-MPL,1308,7
CT26995-106-R-R-R-MPL,1309,7
CT27047-133-R-R-R-MPL,1310,7
CT27015-41-R-R-R-MPL,1311,7
CT27016-74-R-R-R-MPL,1312,7
FEDEARROZ 2000,1313,6
CT27015-100-R-R-R-MPL,1314,7
CT27031-99-R-R-R-MPL,1315,7
CT27016-41-R-R-R-MPL,1316,7
CT26995-130-R-R-R-MPL,1317,6
CT26989-40-R-R-R-MPL,1318,7
CT26987-95-R-R-R-MPL,1319,6
CT27035-49-R-R-R-MPL,1320,5
CT27038-122-R-R-R-MPL,1321,7
CT27047-151-R-R-R-MPL,1322,7
CT27017-53-R-R-R-MPL,1323,6
CT27050-128-R-R-R-MPL,1324,6
CT26987-165-R-R-R-MPL,1325,7
CT27009-88-R-R-R-MPL,1326,7
CT27035-68-R-R-R-MPL,1327,7
CT26989-62-R-R-R-MPL,1328,4
CT27047-159-R-R-R-MPL,1329,7
CT26987-72-R-R-R-MPL,1330,7
ORYZICA 1,1331,6
CT27038-161-R-R-R-MPL,1332,6
CT27057-37-R-R-R-MPL,1333,6
CT27031-75-R-R-R-MPL,1334,7
CT27047-63-R-R-R-MPL,1335,7
CT27038-138-R-R-R-MPL,1336,7
CT26987-149-R-R-R-MPL,1337,5
CT26997-132-R-R-R-MPL,1338,6
